Team,Player Name,Primary Shoe Brand,Primary Shoe Model,List of All Shoes
Los Angeles Clippers,Kawhi Leonard,New Balance,Kawhi 4,"{('New Balance', 'Kawhi 4 Transcend Greatness'), ('New Balance', 'Kawhi 2 Low'), ('Jordan', 'Air  XX9 PE'), ('Jordan', 'Air  XX9'), ('New Balance', 'Kawhi 3'), ('New Balance', 'Kawhi 2'), ('Jordan', 'Air  XXXI'), ('Jordan', 'Air  11 Retro'), ('New Balance', 'Kawhi 4')}"
Philadelphia 76ers,Joel Embiid,SKECHERS,SKX Float,"{('SKECHERS', 'SKX Float'), ('SKECHERS', 'SKX Float Mid'), ('Adidas', 'D Rose 773 III'), ('Under Armour', 'HOVR Havoc'), ('Under Armour', 'HOVR Havoc 2'), ('Under Armour', 'Embiid 1')}"
Boston Celtics,Jordan Walsh,741 Performance,Rover,"{('Jordan', 'Tatum 3'), ('Converse', 'All Star BB Shift Mid'), ('Nike', 'Kobe 6 Italian Camo'), ('741 Performance', 'Rover'), ('Jordan', 'Tatum 2'), ('Jordan', 'Tatum 1'), ('Nike', 'LeBron XX'), ('Nike', 'Kobe 6')}"
Boston Celtics,Jayson Tatum,Jordan,Tatum 3,"{('Jordan', 'Tatum 3 St. Louis'), ('Jordan', 'Air  37 Low'), ('Jordan', 'Air  36'), ('Jordan', 'Air  34'), ('Jordan', 'Air  35'), ('Jordan', 'Tatum 3'), ('Nike', 'Kyrie 4'), ('Jordan', 'Tatum 3 6th Man'), ('Jordan', 'Tatum 2'), ('Jordan', 'Tatum 1'), ('Jordan', 'Air  37')}"
Boston Celtics,Drew Peterson,Nike,Kyrie Low 4 Pale Coral,"{('Nike', 'Kyrie Low 4')}"
Los Angeles Lakers,Luka DonÄiÄ‡,Jordan,Luka 1,"{('Jordan', 'Luka 2'), ('Jordan', 'Air  35'), ('Jordan', 'Luka 1'), ('Nike', 'Hyperdunk X Low'), ('Jordan', 'Luka 3')}"
Golden State Warriors,Stephen Curry,Under Armour,Curry 12 Extraterrestial,"{('Under Armour', 'Curry Fox 1'), ('Under Armour', 'Curry 3ZERO'), ('Under Armour', 'Curry 11'), ('Under Armour', 'Curry 1 Low FloTro'), ('Under Armour', 'Curry Two ""Floor General""'), ('Under Armour', 'Curry 6 FloTro'), ('Under Armour', 'Curry ""CNY""'), ('Under Armour', 'Curry Two'), ('Under Armour', 'Under Armor Anatomix Spawn Flotro'), ('Under Armour', 'Anatomix Spawn Flotro'), ('Under Armour', 'Curry 4'), ('Under Armour', 'Curry Flow 10'), ('Under Armour', 'Curry 1 Low FloTro Lux'), ('Under Armour', 'Curry 2 Low FloTro'), ('Under Armour', 'Curry 12'), ('Under Armour', 'Curry 3'), ('Under Armour', 'under-armour Curry 3 ZERO'), ('Under Armour', 'Curry 4 Low FloTro'), ('Under Armour', 'Curry 6'), ('Under Armour', 'Curry 4 FloTro'), ('Under Armour', 'Curry 12 Year of the Snake'), ('Under Armour', 'Curry 7'), ('Under Armour', 'Curry One')}"
Golden State Warriors,Jimmy Butler III,Li-Ning,JB3,"{('Li-Ning', 'YuShuai 15'), ('Jordan', 'Air  XX9 Low PE'), ('Li-Ning', 'JB3'), ('Li-Ning', 'Speed VII'), ('Jordan', 'Air  XX9'), ('Jordan', 'Super.Fly 4'), ('Li-Ning', 'The Bucket'), ('Li-Ning', 'JB2'), ('Jordan', 'Air  XXXI'), ('Li-Ning', 'JB1'), ('Jordan', 'Air  6 Retro'), ('Jordan', 'Air  XX9 ""USA""'), ('Jordan', 'Ultra.Fly 2')}"
Boston Celtics,Torrey Craig,Nike,Kobe 6 Grinch,"{('Nike', 'Kobe 4 Protro'), ('Nike', 'LeBron 16'), ('Nike', 'Kobe 7'), ('Nike', 'Kobe 9 Low'), ('Nike', 'Kobe 5'), ('Nike', 'PG 2.5'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe X Low')}"
Boston Celtics,Sam Hauser,Nike,Air Zoom G.T. Cut 3,"{('Nike', 'PG 6'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'PG 5'), ('Nike', 'LeBron NXXT Gen'), ('Nike', 'KD 16'), ('Nike', 'Air Zoom G.T. Cut 3 Blueprint'), ('Nike', 'Sabrina 1'), ('Nike', 'KD 15'), ('Nike', 'Sabrina 2')}"
