Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM▼,VORP,Awards,Player-additional
157,Corey Kispert,24,WAS,SF,80,22,2067,12.8,.620,.605,.198,1.5,10.3,5.8,10.7,0.9,0.6,10.2,19.6,1.7,0.4,2.1,.048,-0.2,-2.0,-2.1,-0.1,,kispeco01
158,Andrew Nembhard,24,IND,PG,68,47,1697,11.3,.573,.328,.107,2.4,7.0,4.7,20.0,1.8,0.3,15.6,16.0,1.3,0.7,2.0,.057,-1.6,-0.5,-2.2,-0.1,,nembhan01
159,Ausar Thompson,21,DET,SF,63,38,1583,12.8,.522,.235,.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,0.1,1.7,1.8,.053,-2.8,0.6,-2.2,-0.1,,thompau01
160,Nick Richards,26,CHO,C,67,51,1759,16.7,.717,.003,.476,10.7,24.2,17.2,4.5,0.7,3.9,13.8,13.3,3.8,1.3,5.1,.140,-1.6,-0.7,-2.3,-0.1,,richani01
161,Kelly Oubre Jr.,28,PHI,SF,68,52,2055,13.5,.535,.370,.264,5.0,13.5,9.2,7.3,1.8,2.1,8.2,22.4,0.6,2.4,3.0,.070,-1.5,-0.7,-2.3,-0.1,,oubreke01
162,De'Andre Hunter,26,ATL,SF,57,37,1681,12.7,.595,.459,.296,1.9,12.9,7.2,7.3,1.1,0.9,10.0,20.6,1.6,0.6,2.2,.062,-0.9,-1.5,-2.4,-0.2,,huntede01
163,Andrew Wiggins,28,GSW,SF,71,59,1920,12.7,.544,.326,.242,6.2,11.8,9.0,8.6,1.1,1.9,9.2,20.9,1.2,1.6,2.8,.070,-1.4,-1.2,-2.5,-0.3,,wiggian01
164,Brandon Miller,21,CHO,SF,74,68,2383,13.0,.552,.455,.160,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,-0.3,1.0,0.8,.015,-0.9,-1.6,-2.6,-0.3,ROY-3,millebr02
165,Grant Williams,25,2TM,PF,76,43,2130,10.6,.588,.555,.231,4.4,12.2,8.3,11.3,1.0,1.6,14.1,15.9,1.3,1.3,2.6,.059,-1.9,-0.7,-2.6,-0.3,,willigr01
166,Jaden McDaniels,23,MIN,SF,72,71,2105,9.4,.571,.406,.126,3.2,8.7,6.0,6.8,1.5,1.8,11.6,15.7,0.3,3.1,3.4,.077,-3.3,0.7,-2.6,-0.3,,mcdanja02
167,Gary Trent Jr.,25,TOR,SG,71,41,1994,12.0,.548,.535,.113,1.4,9.2,5.2,8.6,1.9,0.4,5.0,20.0,0.8,0.9,1.7,.040,-1.2,-1.4,-2.6,-0.3,,trentga02
168,Josh Green,23,DAL,SG,57,33,1505,9.9,.588,.500,.152,2.9,10.4,6.7,11.1,1.5,0.5,13.1,13.1,1.0,1.2,2.2,.071,-2.4,-0.3,-2.7,-0.3,,greenjo02
169,Taurean Prince,29,LAL,PF,78,49,2108,8.8,.579,.622,.119,1.2,10.5,6.1,7.2,1.3,1.4,10.8,13.8,0.3,1.7,1.9,.043,-2.6,-0.2,-2.8,-0.4,,princta02
170,Tim Hardaway Jr.,31,DAL,SF,79,12,2120,12.1,.542,.612,.173,1.1,11.9,6.5,9.2,1.0,0.2,6.2,22.6,0.8,1.4,2.2,.050,-0.8,-2.1,-2.9,-0.5,6MOY-9,hardati02
171,Georges Niang,30,CLE,PF,82,10,1831,9.9,.583,.627,.095,1.4,15.5,8.5,7.5,0.8,0.9,9.9,17.6,0.5,2.0,2.4,.064,-2.5,-0.4,-2.9,-0.4,,niangge01
172,Toumani Camara,23,POR,PF,70,49,1739,10.6,.547,.393,.226,8.4,14.0,11.0,7.2,1.9,1.7,14.9,13.8,0.6,1.4,2.0,.055,-3.1,0.0,-3.1,-0.5,,camarto01
173,Jaden Ivey,21,DET,SG,77,61,2217,12.4,.536,.379,.311,4.3,9.1,6.6,20.2,1.2,1.6,14.7,24.9,-0.5,1.0,0.5,.010,-1.4,-1.7,-3.1,-0.6,,iveyja01
174,Reggie Jackson,33,DEN,PG,82,23,1817,11.7,.521,.376,.130,2.1,7.2,4.7,23.0,1.2,0.6,11.7,21.7,0.6,1.5,2.1,.056,-1.8,-1.5,-3.2,-0.6,,jacksre01
175,Bruce Brown,27,2TM,SG,67,44,1866,11.6,.563,.282,.244,3.1,14.0,8.5,13.2,1.5,0.8,11.8,16.5,1.2,1.0,2.2,.058,-2.4,-1.0,-3.3,-0.6,,brownbr01
176,Jabari Walker,21,POR,SF,72,23,1700,13.0,.546,.273,.336,9.4,25.0,16.7,6.2,1.2,1.2,10.2,16.3,1.4,1.6,2.9,.083,-2.4,-0.9,-3.3,-0.6,,walkeja01
177,Jeremy Sochan,20,SAS,PF,74,73,2193,11.4,.513,.293,.186,6.7,16.9,11.7,16.0,1.3,1.5,14.3,18.8,-0.5,1.9,1.4,.030,-2.8,-0.6,-3.4,-0.8,,sochaje01
178,Bennedict Mathurin,21,IND,SF,59,19,1538,13.0,.562,.323,.338,4.4,12.8,8.6,9.8,1.1,0.7,11.3,23.4,0.8,0.7,1.4,.045,-1.2,-2.3,-3.4,-0.6,,mathube01
179,Dillon Brooks,28,HOU,SF,72,72,2227,9.4,.549,.482,.191,2.5,9.4,5.9,7.5,1.4,0.4,9.6,17.6,0.6,2.1,2.7,.058,-3.3,-0.3,-3.6,-0.9,,brookdi01
180,Jordan Poole,24,WAS,SG,78,66,2346,12.1,.529,.476,.185,1.4,8.4,4.8,21.4,1.7,0.9,12.8,26.4,-1.5,0.8,-0.6,-0.013,-2.0,-1.9,-3.9,-1.2,,poolejo01
181,Bilal Coulibaly,19,WAS,SF,63,15,1715,8.9,.543,.428,.303,3.4,12.8,8.0,8.2,1.6,2.3,15.1,14.2,-0.5,0.9,0.4,.013,-3.6,-0.5,-4.2,-0.9,,coulibi01
182,Ochai Agbaji,23,2TM,SG,78,28,1641,7.7,.497,.487,.129,4.9,9.6,7.2,6.6,1.4,2.4,12.3,13.4,-0.5,0.6,0.1,.002,-3.5,-0.9,-4.4,-1.0,,agbajoc01
183,Keyonte George,20,UTA,PG,75,44,2023,10.4,.533,.540,.274,0.8,10.6,5.7,23.1,0.9,0.3,17.1,22.8,-0.4,0.1,-0.3,-0.008,-1.5,-2.9,-4.4,-1.2,,georgke01
184,Jordan Clarkson,31,UTA,SG,55,19,1682,12.7,.521,.379,.246,3.2,9.0,6.2,24.6,1.0,0.3,13.9,26.1,0.1,0.1,0.2,.006,-1.3,-3.2,-4.5,-1.1,,clarkjo01
185,Malaki Branham,20,SAS,PG,75,29,1594,8.7,.526,.427,.100,1.9,8.2,5.0,14.0,0.8,0.4,12.2,19.8,-0.9,0.6,-0.3,-0.008,-3.4,-2.2,-5.6,-1.5,,branhma01
186,Scoot Henderson,19,POR,PG,62,32,1765,9.5,.489,.336,.256,3.2,9.5,6.2,29.9,1.3,0.7,19.3,26.5,-2.5,0.9,-1.7,-0.045,-3.5,-2.3,-5.8,-1.7,,hendesc01
